id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_category
17092,cool room in hell's kitchen,66243,enzo,manhattan,hell's kitchen,40.76342,-73.98865,private room,51,7,23,2019-06-01,0.43,1,88,Budget
17693,"harlem, new york welcomes you!!",68428,tye and etienne,manhattan,washington heights,40.83139,-73.94095,private room,65,2,49,2019-06-18,1.6,2,336,Budget
17747,blue trim guest house,68599,george,brooklyn,clinton hill,40.68346,-73.96374,private room,105,2,105,2019-06-26,0.92,1,304,Medium
18127,charming east village one bedroom flat,69829,josh,manhattan,east village,40.72828,-73.98801,entire home/apt,190,5,21,2019-01-02,0.2,1,224,Medium
18152,manhattan room,69942,victoria,manhattan,upper east side,40.76865,-73.95058,private room,200,1,142,2019-07-06,1.5,1,322,Medium
18590,fort greene retreat on the park,71512,blaise,brooklyn,fort greene,40.6932,-73.97267,private room,95,3,143,2019-06-16,1.28,1,132,Budget
18728,beautiful meatpacking district loft,71876,david and rick,manhattan,chelsea,40.74138,-74.00197,private room,150,3,167,2019-05-28,1.65,1,295,Medium
18764,cozy 2 br in williamsburg,72014,lulú,brooklyn,williamsburg,40.71154,-73.96112,private room,145,3,61,2019-04-22,0.54,4,238,Medium
19169,entire 2 bedroom - large & sunny,73128,jolynn,manhattan,lower east side,40.71851,-73.98892,entire home/apt,285,5,70,2019-06-30,0.62,1,328,Luxury
19282,"sunny, spacious top floor haven",73469,gaia,brooklyn,flatbush,40.65401,-73.96323,entire home/apt,130,6,16,2019-06-15,0.15,1,38,Medium
19812,2 bedroom williamsburg apt - bedford l stop,74857,starlee,brooklyn,williamsburg,40.71833,-73.95748,entire home/apt,105,3,61,2018-08-09,0.53,1,272,Medium
20299,oh glorious spring!,62407,edward,manhattan,east village,40.72334,-73.9844,private room,60,3,194,2019-06-30,1.73,1,26,Budget
20300,great location for nyc,76627,pas,manhattan,east village,40.72912,-73.98057,private room,50,1,2,2016-02-14,0.05,1,0,Budget
20611,cozy bedroom in williamsburg 3 br,72014,lulú,brooklyn,williamsburg,40.71156,-73.96218,private room,85,3,174,2019-06-22,1.54,4,288,Budget
20724,sunny room+pvte office in huge loft,961342,augustin,brooklyn,bushwick,40.70032,-73.9383,private room,65,4,24,2019-05-26,0.28,1,317,Budget
20734,spacious prospect heights apartment,78460,sean & lynette,brooklyn,prospect heights,40.68233,-73.97261,entire home/apt,131,4,166,2019-06-27,3.4,1,207,Medium
20755,"large parlor room, landmark home 1 block to pratt",51038,erica,brooklyn,clinton hill,40.68634,-73.966,private room,98,7,16,2019-05-31,0.2,6,185,Budget
20853,2-bed brownstone duplex + garden,79070,tracy,brooklyn,prospect heights,40.68035,-73.97162,entire home/apt,250,7,21,2019-05-21,0.3,1,158,Luxury
20913,charming 1 bed gr8 wburg location!,79402,christiana,brooklyn,williamsburg,40.70984,-73.95775,entire home/apt,100,5,168,2018-07-22,1.57,1,0,Medium
21293,sunny apartment in artist home,44145,tyrome,brooklyn,bushwick,40.70093,-73.92609,entire home/apt,105,3,118,2019-06-18,1.05,2,9,Medium
21456,light-filled classic central park,42032,dana,manhattan,upper west side,40.79764,-73.96177,entire home/apt,140,3,81,2019-07-07,0.71,1,198,Medium
21644,"upper manhattan, new york",82685,elliott,manhattan,harlem,40.82803,-73.94731,private room,89,1,1,2018-10-09,0.11,1,365,Budget
22911,the stuydio modern and light filled,87773,shelly,brooklyn,bedford-stuyvesant,40.68413,-73.92357,entire home/apt,125,7,139,2018-10-28,1.23,2,311,Medium
22918,loft bed - near transportation-15min to times sq,32294,ssameer or trip,manhattan,harlem,40.82279,-73.95139,private room,60,3,11,2019-01-03,0.87,3,219,Budget
23135,house on henry (3rd flr suite),11481,annette,brooklyn,carroll gardens,40.67967,-74.00154,entire home/apt,175,2,233,2019-06-24,2.09,3,342,Medium
23501,monkey retreat manhattan,63318,meka,manhattan,washington heights,40.83927,-73.94281,private room,65,2,68,2012-11-01,0.6,1,312,Budget
24143,"williamsburg—steps to subway, private bath&balcony",97219,seth,brooklyn,williamsburg,40.71332,-73.94177,private room,101,3,335,2019-05-29,3.02,1,152,Medium
25696,"1,800 sq foot in luxury building",107628,dena,manhattan,harlem,40.8092,-73.94421,private room,100,2,170,2019-06-23,1.61,1,346,Medium
26362,"times square, safe, clean and cozy!",59734,luiz,manhattan,hell's kitchen,40.75527,-73.99291,private room,59,2,334,2019-06-16,3.0,2,279,Budget
26520,"cozy room #3, landmark home 1 block to pratt",51038,erica,brooklyn,clinton hill,40.68698,-73.96572,private room,125,2,19,2019-06-02,0.2,6,250,Medium
26559,beautiful apartment east village,112793,sally,manhattan,east village,40.7288,-73.98192,entire home/apt,140,7,12,2017-12-11,0.13,1,164,Medium
26954,nyc fabulous views manhattan's eye,115157,nimo,manhattan,kips bay,40.74294,-73.98009,entire home/apt,199,5,38,2015-12-02,0.38,1,260,Medium
26969,2 story family home in williamsburg,115307,alexandra,brooklyn,williamsburg,40.71942,-73.95748,entire home/apt,325,3,324,2019-06-23,3.01,1,107,Luxury
27006,comfortable uws 2-bd family-friendly brownstone,115560,stacy,manhattan,upper west side,40.77823,-73.97637,entire home/apt,235,6,27,2019-04-27,0.27,1,199,Medium
27385,great large 1 br apt  in east village!,72062,bruce,manhattan,east village,40.72555,-73.97965,entire home/apt,225,1,115,2019-06-07,1.05,4,299,Medium
27531,eveland private bed & living room w/ own entrance,118971,evelyn,brooklyn,south slope,40.66831,-73.98604,private room,99,2,354,2019-05-20,3.2,3,20,Budget
27644,sugar hill rest stop,119510,emma,manhattan,harlem,40.82754,-73.94919,entire home/apt,170,2,195,2019-07-01,2.03,1,318,Medium
27759,apartment next to central park,119900,sylvie,manhattan,upper west side,40.77842,-73.97556,entire home/apt,170,7,13,2019-06-26,0.12,1,224,Medium
27883,east village sanctuary,120223,jen,manhattan,east village,40.72245,-73.98527,entire home/apt,100,4,25,2011-12-10,0.23,1,0,Medium
28321,large 1  br in a 3 br brooklyn apt. next to q trn.,65091,kay,brooklyn,prospect-lefferts gardens,40.65593,-73.96053,private room,75,2,9,2018-10-05,0.08,1,324,Budget
28396,modern apt with spectacular views,6197784,jo,brooklyn,williamsburg,40.71923,-73.96468,private room,90,1,9,2011-09-18,0.08,1,245,Budget
28907,garden studio in the upper east sid,124352,lisa,manhattan,upper east side,40.778,-73.94822,entire home/apt,150,5,21,2017-08-15,0.19,1,189,Medium
29013,b & b room 1,35935,angela,brooklyn,bedford-stuyvesant,40.68332,-73.9547,private room,70,3,63,2019-05-14,0.58,2,310,Budget
29455,accommodations galore #1,126607,laurine,manhattan,harlem,40.81618,-73.94894,entire home/apt,120,3,155,2019-06-20,1.42,3,213,Medium
29628,sunny room in new condo,127608,chris,brooklyn,clinton hill,40.68414,-73.96351,private room,89,3,260,2019-07-03,2.35,1,278,Budget
29683,stylish & sleek apartment near soho!,125857,uli,manhattan,east village,40.72392,-73.99143,entire home/apt,185,5,73,2019-06-25,0.66,1,209,Medium
30031,nyc artists’ loft with roof deck,129352,sol,brooklyn,greenpoint,40.73494,-73.9503,private room,50,3,193,2019-05-20,1.86,1,0,Budget
30927,unique & charming small 1br apt. les,120335,cs,manhattan,lower east side,40.71341,-73.98856,entire home/apt,105,3,32,2019-06-14,0.29,1,16,Medium
31130,most central location!,117287,lara,manhattan,hell's kitchen,40.76754,-73.98399,private room,130,2,50,2019-05-26,0.45,3,234,Medium
31902,sanctuary in east flatbush,137292,sunder,brooklyn,flatlands,40.63188,-73.93248,private room,77,2,2,2019-01-01,0.02,1,178,Budget
31994,room with en suite bathroom & deck,137814,waldemar,brooklyn,clinton hill,40.6873,-73.9634,private room,76,2,426,2019-06-24,3.89,3,275,Budget
32023,flat macdonough,137974,khem,brooklyn,bedford-stuyvesant,40.68296,-73.93662,entire home/apt,125,3,227,2019-06-23,2.09,2,163,Medium
32037,huge private  floor at the waverly,116599,sahr,brooklyn,clinton hill,40.6863,-73.96765,private room,135,4,84,2019-07-01,0.77,3,365,Medium
32289,"sun-drenched, artsy modernist 1 bdrm duplex",139612,elisabeth,brooklyn,williamsburg,40.71561,-73.94835,entire home/apt,199,3,10,2018-06-11,0.1,1,280,Medium
32331,"sunny, cobble hill apartment",139874,sarah,brooklyn,cobble hill,40.6857,-73.99183,entire home/apt,140,2,4,2016-04-24,0.04,1,0,Medium
32363,fully furnished basement apartment,140025,fredah,queens,flushing,40.74028,-73.83168,private room,140,2,1,2011-09-19,0.01,1,1,Medium
32965,flat macdonough garden,137974,khem,brooklyn,bedford-stuyvesant,40.68281,-73.93524,entire home/apt,115,3,124,2019-06-20,1.72,2,170,Medium
32969,light filled williamsburg apartment,142833,katherine,brooklyn,williamsburg,40.71596,-73.93938,entire home/apt,160,3,11,2019-07-02,0.11,1,188,Medium
33009,retreat in williamsburg,143027,ming,brooklyn,williamsburg,40.71492,-73.95935,entire home/apt,195,4,240,2019-06-17,2.19,1,214,Medium
33014,nyc zen,143048,paula,manhattan,east village,40.72354,-73.98295,entire home/apt,195,3,30,2019-06-17,0.28,1,248,Medium
33223,cozy br in wiliamsburg 3 bedroom,72014,lulú,brooklyn,williamsburg,40.71165,-73.96087,private room,80,3,200,2019-06-22,1.86,4,262,Budget
34760,sunny room in old historical brooklyn townhouse,149929,obed,brooklyn,fort greene,40.69101,-73.97312,private room,44,8,27,2019-06-29,1.05,5,280,Budget
35526,sun filled classic west village apt,120291,karen,manhattan,west village,40.73474,-74.00101,private room,156,4,79,2019-06-22,0.74,1,307,Medium
36133,classic artist loft williamsburg,142684,white,brooklyn,williamsburg,40.71536,-73.96057,private room,125,3,155,2019-06-13,1.61,1,1,Medium
36647,private bdrm/bathrm. new! elevator!,157798,irene,manhattan,east harlem,40.79295,-73.93997,private room,69,2,34,2017-05-29,0.32,1,10,Budget
36934,great location in williamsburg,159370,viviana,brooklyn,williamsburg,40.71363,-73.96398,entire home/apt,125,6,27,2018-12-27,0.25,1,189,Medium
38638,light and airy upper east side 1 bdr apartment,92788,sara,manhattan,upper east side,40.77711,-73.9527,entire home/apt,219,4,126,2019-06-26,1.16,2,290,Medium
39267,central park loft all for you,168417,marie,manhattan,upper east side,40.77456,-73.95323,entire home/apt,99,1,234,2019-06-08,2.6,2,164,Budget
39282,indie-chic share in williamsburg,168525,gus,brooklyn,williamsburg,40.71088,-73.95055,private room,69,4,202,2019-05-28,1.86,2,53,Budget
39704,"private, large & sunny 1br w/w&d",170510,renée,brooklyn,bedford-stuyvesant,40.68306,-73.94659,entire home/apt,135,2,309,2019-06-22,2.86,2,3,Medium
40039,luxurious condo in dubmo with view,171851,henry,brooklyn,dumbo,40.70207,-73.98571,private room,250,3,14,2011-04-25,0.13,1,189,Luxury
40453,charming & cozy midtown loft any week ends  !!!,174025,sylvia,manhattan,upper east side,40.76123,-73.9642,entire home/apt,250,3,4,2016-09-23,0.08,1,365,Luxury
41348,* spacious garden park slope duplex* 6 people max,180083,syl,brooklyn,gowanus,40.66858,-73.99083,entire home/apt,250,2,80,2019-07-06,2.17,1,0,Luxury
41513,convenient cozy cheap apt manhattan,181167,lorenzo,manhattan,harlem,40.82704,-73.94907,entire home/apt,80,3,2,2015-11-02,0.04,1,0,Budget
42580,parlor room in victorian townhouse,137814,waldemar,brooklyn,clinton hill,40.68843,-73.96408,private room,70,2,294,2019-06-24,3.47,3,336,Budget
42729,house on henry (2nd flr suite),11481,annette,brooklyn,carroll gardens,40.6783,-74.00135,entire home/apt,165,2,150,2019-06-18,1.4,3,342,Medium
42882,new york room with a view,185978,newyorkroomwithaview,staten island,st. george,40.64524,-74.08088,private room,70,2,166,2019-06-13,1.66,1,312,Budget
43957,sunny cozy room in brklyn townhouse,177536,tessa,brooklyn,bushwick,40.70641,-73.91765,private room,50,2,47,2019-06-19,0.94,1,37,Budget
44096,room with a view,190409,waundell,bronx,highbridge,40.83232,-73.93184,private room,40,1,219,2019-07-04,2.04,3,353,Budget
44161,light+open+airy+rustic+modern loft,193360,young,brooklyn,williamsburg,40.71045,-73.9677,entire home/apt,150,2,193,2016-07-06,1.78,1,177,Medium
44212,west inn 2 - east village,72062,bruce,manhattan,east village,40.72518,-73.98034,private room,125,1,84,2019-06-23,0.78,4,310,Medium
44221,financial district luxury loft,193722,coral,manhattan,financial district,40.70666,-74.01374,entire home/apt,196,3,114,2019-06-20,1.06,1,0,Medium
44229,brooklyn victorian style suite.....,181376,carol,brooklyn,fort greene,40.69098,-73.97113,private room,110,2,213,2019-06-24,2.0,2,321,Medium
44288,your own lovely west village studio,193637,sara,manhattan,west village,40.73756,-74.00405,entire home/apt,170,3,86,2019-06-01,0.8,1,246,Medium
44506,accommodations galore#3. 1-5 guests,126607,laurine,manhattan,harlem,40.81526,-73.94791,entire home/apt,165,3,80,2019-05-26,0.75,3,231,Medium
45542,clean and cozy harlem apartment,202249,campbell,manhattan,harlem,40.82374,-73.9373,entire home/apt,100,2,18,2018-12-17,1.79,1,0,Medium
45556,"fort greene, brooklyn: center bedroom",67778,doug,brooklyn,fort greene,40.68863,-73.97691,private room,65,2,206,2019-06-30,1.92,2,0,Budget
45936,couldn't be closer to columbia uni,867225,rahul,manhattan,morningside heights,40.80549,-73.95924,private room,99,4,122,2019-05-14,1.18,2,233,Budget
45940,bright spacious luxury condo,204724,miyoung,brooklyn,williamsburg,40.71627,-73.9587,entire home/apt,200,4,33,2019-04-08,0.58,1,1,Medium
46544,park slope haven 15 mins from soho,8198,monica,brooklyn,park slope,40.67994,-73.97863,entire home/apt,150,5,52,2019-06-05,0.5,1,18,Medium
46723,safe  and beautiful accomodation,209460,marylyn,brooklyn,bedford-stuyvesant,40.67992,-73.9475,private room,90,3,126,2019-05-19,1.17,4,343,Budget
46911,large room in private brownstone in park slope,210746,kathleen r.,brooklyn,prospect heights,40.67868,-73.97307,private room,120,3,51,2019-06-24,0.48,3,250,Medium
47199,"new york city, 1 bdrm.(near central park & metro)",212722,teresa,manhattan,upper east side,40.76834,-73.95334,private room,75,3,199,2019-06-24,1.85,1,326,Budget
47370,chelsea studio sublet 1 - 2 months,214287,alex,manhattan,chelsea,40.74031,-73.99999,entire home/apt,125,3,3,2015-07-17,0.03,1,0,Medium
47926,lux apt in times square new building,218404,claudia,manhattan,hell's kitchen,40.76307,-73.99665,entire home/apt,275,1,41,2019-06-26,0.38,1,299,Luxury
48719,designer 1 br duplex w/ terrace- spectacular views,221873,shane,manhattan,lower east side,40.71882,-73.98852,entire home/apt,299,2,109,2019-06-15,1.04,1,207,Luxury
50447,lovely apt & garden;  legal;  best area; amenities,9744,laurie,brooklyn,south slope,40.6693,-73.98804,entire home/apt,135,5,151,2019-06-22,1.43,3,162,Medium
51485,lower east side $57~/night,236655,erina,manhattan,lower east side,40.72319,-73.99201,private room,83,1,285,2019-06-22,2.69,1,7,Budget
51572,prime location in manhattan,237329,lee,manhattan,chelsea,40.74859,-73.99671,private room,123,1,375,2019-06-18,3.52,1,328,Medium
51850,( f) excellent/pvt rm,27848,jullett,queens,jamaica,40.67252,-73.76597,private room,55,2,52,2019-05-20,0.49,2,365,Budget
53137,"quiet, sunny midtown manhattan apt.",240360,marlaine,manhattan,hell's kitchen,40.76244,-73.99271,entire home/apt,195,5,10,2019-07-01,1.01,1,0,Medium
53196,big room/washer-dryer/wifi/ac/jmz,247432,charlotte,brooklyn,bedford-stuyvesant,40.69546,-73.93503,private room,80,2,11,2017-11-13,0.48,1,0,Budget
53470,clean and convenient 2br apartment,204539,mark,queens,ridgewood,40.70234,-73.89816,private room,140,7,6,2015-10-08,0.06,5,365,Medium
53477,3 floors of luxury!,204539,mark,queens,middle village,40.71546,-73.87854,entire home/apt,265,7,38,2019-04-27,0.38,5,365,Luxury
54158,the institute—heart of williamsburg,10889,bob,brooklyn,williamsburg,40.7195,-73.95976,entire home/apt,249,2,358,2019-06-20,3.44,2,164,Medium
54453,midtown west - large alcove studio,255583,anka,manhattan,hell's kitchen,40.76548,-73.98474,shared room,105,6,10,2014-01-07,0.09,1,363,Medium
54508,sml rm in pr brst  park sl great for med/students,210746,kathleen r.,brooklyn,prospect heights,40.6787,-73.97262,private room,100,2,226,2019-06-06,2.12,3,250,Medium
54544,city room - private penthouse apt.,256161,wayne,manhattan,harlem,40.81035,-73.94598,entire home/apt,121,1,104,2019-06-22,1.0,5,247,Medium
54626,cozy bedroom by yankee stadium,190409,waundell,bronx,highbridge,40.83075,-73.93058,private room,45,1,138,2019-06-30,1.45,3,323,Budget
54860,great apartment with private bathroom and entrance,258164,jenny,manhattan,east harlem,40.79958,-73.94275,private room,100,5,204,2019-06-23,1.92,1,192,Medium
55467,private garden apt • new renovation,260709,paul,brooklyn,williamsburg,40.71625,-73.93845,entire home/apt,140,2,253,2019-07-02,3.04,1,125,Medium
55498,modern comfort in art infused landmark brownstone,262138,tami,brooklyn,bedford-stuyvesant,40.6829,-73.93549,private room,71,2,23,2019-07-01,0.22,1,91,Budget
55668,"noho/east village, private 1/2 bath",88209,jason,manhattan,noho,40.72773,-73.99134,private room,130,2,115,2018-12-05,1.17,1,75,Medium
55737,sleek & comfortable soho apt,263414,pete,manhattan,west village,40.72861,-74.0049,entire home/apt,199,5,129,2019-05-19,1.22,1,286,Medium
55959,spacious williamsburg share w/ loft bed,168525,gus,brooklyn,williamsburg,40.70979,-73.95162,private room,69,4,82,2019-06-10,1.13,2,60,Budget
55982,cozy 2 br in sunny fort greene apt,264928,sally,brooklyn,fort greene,40.68656,-73.97525,private room,68,3,37,2018-12-31,0.35,1,0,Budget
56467,cozy east village railroad 1 bed!,267593,leonardo,manhattan,east village,40.72752,-73.98432,entire home/apt,130,1,204,2019-07-01,2.04,1,192,Medium
56525,1 bedroom loft w/ private roof deck,268014,alex,brooklyn,greenpoint,40.729,-73.95829,entire home/apt,195,2,69,2019-06-13,0.65,1,58,Medium
56859,city room - private & comfy bedroom,256161,wayne,manhattan,harlem,40.81219,-73.94499,private room,64,1,192,2019-06-03,1.84,5,245,Budget
57166,elegant nyc pad,272006,vasili,queens,ditmars steinway,40.77185,-73.90502,entire home/apt,140,2,17,2019-06-17,0.16,1,292,Medium
57297,"clean & bright 1br in cobble hill, great location!",199392,s.m.,brooklyn,cobble hill,40.68926,-73.99386,entire home/apt,159,2,222,2019-06-24,2.12,1,279,Medium
